Time [d],VTT Mould Index [-]
20.083333333333332,0.21076
20.125,0.211799
20.166666666666664,0.212838
20.208333333333332,0.21386
20.25,0.214881
20.291666666666664,0.215903
20.333333333333332,0.216925
20.375,0.217929
20.416666666666664,0.218932
20.458333333333332,0.219936
20.5,0.220922
20.541666666666664,0.221908
20.583333333333332,0.222893
20.625,0.223879
20.666666666666664,0.224865
20.708333333333332,0.225832
20.75,0.226799
20.791666666666664,0.227785
20.833333333333332,0.228771
20.875,0.229757
20.916666666666664,0.230742
20.958333333333332,0.231728
21,0.232714
21.041666666666664,0.2337
21.083333333333332,0.234685
21.125,0.235671
21.166666666666664,0.236657
21.208333333333332,0.237643
21.25,0.238628
21.291666666666664,0.239614
21.333333333333332,0.2406
21.375,0.241567
21.416666666666664,0.242534
21.458333333333332,0.243501
21.5,0.244468
21.541666666666664,0.245435
21.583333333333332,0.246384
21.625,0.247333
21.666666666666664,0.248282
21.708333333333332,0.249231
21.75,0.250179
21.791666666666664,0.251128
21.833333333333332,0.252077
21.875,0.253007
21.916666666666664,0.253936
21.958333333333332,0.254866
22,0.255796
22.041666666666664,0.256726
22.083333333333332,0.257656
22.125,0.258585
22.166666666666664,0.259515
22.208333333333332,0.260445
22.25,0.261375
22.291666666666664,0.262286
22.333333333333332,0.263197
22.375,0.264108
22.416666666666664,0.265019
22.458333333333332,0.265911
22.5,0.266802
22.541666666666664,0.267694
22.583333333333332,0.268586
22.625,0.269478
22.666666666666664,0.27035
22.708333333333332,0.271222
22.75,0.272114
22.791666666666664,0.273005
22.833333333333332,0.273897
22.875,0.275215
22.916666666666664,0.276533
22.958333333333332,0.277878
23,0.279223
23.041666666666664,0.280569
23.083333333333332,0.281914
23.125,0.283259
23.166666666666664,0.284604
23.208333333333332,0.285949
23.25,0.287294
23.291666666666664,0.288639
23.333333333333332,0.289984
23.375,0.29133
23.416666666666664,0.292675
23.458333333333332,0.29402
23.5,0.295365
23.541666666666664,0.29671
23.583333333333332,0.298055
23.625,0.2994
23.666666666666664,0.300746
23.708333333333332,0.302091
23.75,0.303436
23.791666666666664,0.304781
23.833333333333332,0.306126
23.875,0.307471
23.916666666666664,0.308816
23.958333333333332,0.310161
24,0.31111
24.041666666666664,0.312483
24.083333333333332,0.313412
24.125,0.314342
24.166666666666664,0.315272
24.208333333333332,0.316617
24.25,0.317547
24.291666666666664,0.318476
24.333333333333332,0.319406
24.375,0.320336
24.416666666666664,0.321266
24.458333333333332,0.322195
24.5,0.323125
24.541666666666664,0.324055
24.583333333333332,0.324985
24.625,0.325914
24.666666666666664,0.326844
24.708333333333332,0.327774
24.75,0.328703
24.791666666666664,0.329633
24.833333333333332,0.330563
24.875,0.331493
24.916666666666664,0.332422
24.958333333333332,0.333352
25,0.334282
25.041666666666664,0.335211
25.083333333333332,0.33616
25.125,0.337109
25.166666666666664,0.338058
25.208333333333332,0.339006
25.25,0.339955
25.291666666666664,0.340904
25.333333333333332,0.341852
25.375,0.342801
25.416666666666664,0.34375
25.458333333333332,0.344679
25.5,0.345609
25.541666666666664,0.346539
25.583333333333332,0.347469
25.625,0.348398
25.666666666666664,0.349328
25.708333333333332,0.350258
25.75,0.351187
25.791666666666664,0.352117
25.833333333333332,0.353047
25.875,0.353976
25.916666666666664,0.354906
25.958333333333332,0.355836
26,0.356766
26.041666666666664,0.357695
26.083333333333332,0.358625
26.125,0.359555
26.166666666666664,0.360484
26.208333333333332,0.361414
26.25,0.362344
26.291666666666664,0.363273
26.333333333333332,0.364203
26.375,0.365133
26.416666666666664,0.366044
26.458333333333332,0.366955
26.5,0.367866
26.541666666666664,0.368777
26.583333333333332,0.369688
26.625,0.370599
26.666666666666664,0.37151
26.708333333333332,0.372421
26.75,0.373332
26.791666666666664,0.374243
26.833333333333332,0.375172
26.875,0.376102
26.916666666666664,0.377032
26.958333333333332,0.377961
27,0.378891
27.041666666666664,0.37984
27.083333333333332,0.380788
27.125,0.381737
27.166666666666664,0.382686
27.208333333333332,0.383634
27.25,0.384583
27.291666666666664,0.385532
27.333333333333332,0.38648
27.375,0.387429
27.416666666666664,0.388359
27.458333333333332,0.389288
27.5,0.390218
27.541666666666664,0.391148
27.583333333333332,0.392077
27.625,0.392755
27.666666666666664,0.393684
27.708333333333332,0.394362
27.75,0.395039
27.791666666666664,0.395717
27.833333333333332,0.396394
27.875,0.397072
27.916666666666664,0.397763
27.958333333333332,0.398455
28,0.399146
28.041666666666664,0.399837
28.083333333333332,0.400529
28.125,0.40122
28.166666666666664,0.401911
28.208333333333332,0.402616
28.25,0.403321
28.291666666666664,0.404012
28.333333333333332,0.404704
28.375,0.405395
28.416666666666664,0.406086
28.458333333333332,0.406778
28.5,0.407469
28.541666666666664,0.40816
28.583333333333332,0.408852
28.625,0.409543
28.666666666666664,0.410234
28.708333333333332,0.410926
28.75,0.411617
28.791666666666664,0.412308
28.833333333333332,0.413
28.875,0.413691
28.916666666666664,0.414382
28.958333333333332,0.415073
29,0.415778
29.041666666666664,0.416483
29.083333333333332,0.417188
29.125,0.417892
29.166666666666664,0.418597
29.208333333333332,0.419302
29.25,0.420006
29.291666666666664,0.420711
29.333333333333332,0.421416
29.375,0.422121
29.416666666666664,0.422812
29.458333333333332,0.423503
29.5,0.424194
29.541666666666664,0.424886
29.583333333333332,0.425577
29.625,0.426268
29.666666666666664,0.42696
29.708333333333332,0.427651
29.75,0.428342
29.791666666666664,0.429033
29.833333333333332,0.429725
29.875,0.430429
29.916666666666664,0.431134
29.958333333333332,0.43212
30,0.433105
30.041666666666664,0.434091
30.083333333333332,0.435076
30.125,0.435783
30.166666666666664,0.43649
30.208333333333332,0.437197
30.25,0.437904
30.291666666666664,0.438611
30.333333333333332,0.439318
30.375,0.440024
30.416666666666664,0.440731
30.458333333333332,0.441438
30.5,0.442143
30.541666666666664,0.442847
30.583333333333332,0.443552
30.625,0.444257
30.666666666666664,0.444961
30.708333333333332,0.445666
30.75,0.446371
30.791666666666664,0.447075
30.833333333333332,0.447782
30.875,0.448489
30.916666666666664,0.449196
30.958333333333332,0.449915
31,0.450635
31.041666666666664,0.451355
31.083333333333332,0.452075
31.125,0.452794
31.166666666666664,0.453514
31.208333333333332,0.454234
31.25,0.454941
31.291666666666664,0.455647
31.333333333333332,0.456354
31.375,0.457061
31.416666666666664,0.457768
31.458333333333332,0.458474
31.5,0.459181
31.541666666666664,0.459886
31.583333333333332,0.460411
31.625,0.460936
31.666666666666664,0.461461
31.708333333333332,0.461986
31.75,0.462511
31.791666666666664,0.463036
31.833333333333332,0.463561
31.875,0.464086
31.916666666666664,0.464621
31.958333333333332,0.465156
32,0.465692
32.041666666666664,0.466227
32.08333333333333,0.466762
32.125,0.467297
32.166666666666664,0.467833
32.20833333333333,0.468368
32.25,0.468903
32.291666666666664,0.469438
32.33333333333333,0.469973
32.375,0.470498
32.416666666666664,0.471023
32.45833333333333,0.471548
32.5,0.472063
32.541666666666664,0.472578
32.58333333333333,0.473093
32.625,0.473608
32.666666666666664,0.474122
32.70833333333333,0.474637
32.75,0.475152
