Date,Livingroom_1,Livingroom_2,Livingroom_3,Bedroom,Staircase_Low,Staircase_Up
2012-07-13,0.651172,5.07563,0.330462,0.0207562,0.0,0.0
2012-07-14,0.649572,5.07563,0.328862,0.0191562,0.0,0.0
2012-07-15,0.647972,5.07563,0.327262,0.0175562,0.0,0.0
2012-07-16,0.646372,5.07563,0.325662,0.0159562,0.0,0.0
2012-07-17,0.644772,5.07563,0.324062,0.0143562,0.0,0.0
2012-07-18,0.643172,5.07563,0.322462,0.0127562,0.0,0.0
2012-07-19,0.641572,5.07563,0.320862,0.0111562,0.0,0.0
2012-07-20,0.639972,5.07563,0.319262,0.00955617,0.0,0.0
2012-07-21,0.638372,5.07563,0.317662,0.00795617,0.0,0.0
2012-07-22,0.636772,5.07563,0.316062,0.00635617,0.0,0.0
2012-07-23,0.635172,5.07563,0.314462,0.00475617,0.0,0.0
2012-07-24,0.633572,5.07563,0.312862,0.00315617,0.0,0.0
2012-07-25,0.631972,5.07563,0.311262,0.00155617,0.0,0.0
2012-07-26,0.630372,5.07563,0.309662,0.0,0.0,0.0
2012-07-27,0.628772,5.07563,0.308062,0.0,0.0,0.0
2012-07-28,0.627172,5.07563,0.306462,0.0,0.0,0.0
2012-07-29,0.625572,5.07563,0.304862,0.0,0.0,0.0
2012-07-30,0.623972,5.07563,0.303262,0.0,0.0,0.0
2012-07-31,0.622372,5.07563,0.301662,0.0,0.0,0.0
2012-08-01,0.620772,5.07563,0.300062,0.0,0.0,0.0
2012-08-02,0.619172,5.07563,0.298462,0.0,0.0,0.0
2012-08-03,0.617572,5.07563,0.296862,0.0,0.0,0.0
2012-08-04,0.615972,5.07563,0.295262,0.0,0.0,0.0
2012-08-05,0.614372,5.07563,0.293662,0.0,0.0,0.0
2012-08-06,0.612772,5.07563,0.292062,0.0,0.0,0.0
2012-08-07,0.611172,5.07563,0.290462,0.0,0.0,0.0
2012-08-08,0.609572,5.07563,0.288862,0.0,0.0,0.0
2012-08-09,0.607972,5.07563,0.287262,0.0,0.0,0.0
2012-08-10,0.606372,5.07563,0.285662,0.0,0.0,0.0
2012-08-11,0.604772,5.07563,0.284062,0.0,0.0,0.0
2012-08-12,0.603172,5.07563,0.282462,0.0,0.0,0.0
2012-08-13,0.601572,5.07563,0.280862,0.0,0.0,0.0
2012-08-14,0.599972,5.07536,0.279262,0.0,0.0,0.0
2012-08-15,0.598372,5.07496,0.277662,0.0,0.0,0.0
2012-08-16,0.596772,5.07496,0.276062,0.0,0.0,0.0
2012-08-17,0.595172,5.07416,0.274462,0.0,0.0,0.0
2012-08-18,0.593572,5.07416,0.272862,0.0,0.0,0.0
2012-08-19,0.591972,5.07403,0.271262,0.0,0.0,0.0
2012-08-20,0.590372,5.07363,0.269662,0.0,0.0,0.0
2012-08-21,0.588772,5.07243,0.268062,0.0,0.0,0.0
2012-08-22,0.587172,5.0719,0.266462,0.0,0.0,0.0
2012-08-23,0.585572,5.0703,0.264862,0.0,0.0,0.0
2012-08-24,0.583972,5.0687,0.263262,0.0,0.0,0.0
2012-08-25,0.582372,5.0671,0.261662,0.0,0.0,0.0
2012-08-26,0.580772,5.0655,0.260062,0.0,0.0,0.0
2012-08-27,0.579172,5.0639,0.258462,0.0,0.0,0.0
2012-08-28,0.577572,5.0623,0.256862,0.0,0.0,0.0
2012-08-29,0.575972,5.0607,0.255262,0.0,0.0,0.0
2012-08-30,0.574372,5.0591,0.253662,0.0,0.0,0.0
2012-08-31,0.572772,5.0575,0.252062,0.0,0.0,0.0
2012-09-01,0.571172,5.0559,0.250462,0.0,0.0,0.0
2012-09-02,0.569572,5.0543,0.248862,0.0,0.0,0.0
2012-09-03,0.567972,5.0527,0.247262,0.0,0.0,0.0
2012-09-04,0.566372,5.0511,0.245662,0.0,0.0,0.0
2012-09-05,0.564772,5.0495,0.244062,0.0,0.0,0.0
2012-09-06,0.563172,5.0479,0.242462,0.0,0.0,0.0
2012-09-07,0.561572,5.0463,0.240862,0.0,0.0,0.0
2012-09-08,0.559972,5.0447,0.239262,0.0,0.0,0.0
2012-09-09,0.558372,5.0431,0.237662,0.0,0.0,0.0
2012-09-10,0.556772,5.0415,0.236062,0.0,0.0,0.0
2012-09-11,0.555172,5.0399,0.234462,0.0,0.0,0.0
2012-09-12,0.553572,5.0383,0.232862,0.0,0.0,0.0
2012-09-13,0.551972,5.0367,0.231262,0.0,0.0,0.0
2012-09-14,0.550372,5.0351,0.229662,0.0,0.0,0.0
2012-09-15,0.548772,5.0335,0.228062,0.0,0.0,0.0
2012-09-16,0.547172,5.0319,0.226462,0.0,0.0,0.0
2012-09-17,0.545572,5.0303,0.224862,0.0,0.0,0.0
2012-09-18,0.543972,5.0287,0.223262,0.0,0.0,0.0
2012-09-19,0.542372,5.0271,0.221662,0.0,0.0,0.0
2012-09-20,0.540772,5.0255,0.220062,0.0,0.0,0.0
2012-09-21,0.539172,5.0239,0.218462,0.0,0.0,0.0
2012-09-22,0.537572,5.0223,0.216862,0.0,0.0,0.0
2012-09-23,0.535972,5.0207,0.215262,0.0,0.0,0.0
2012-09-24,0.534372,5.0191,0.213662,0.0,0.0,0.0
2012-09-25,0.532772,5.0175,0.212062,0.0,0.0,0.0
2012-09-26,0.531172,5.0159,0.210462,0.0,0.0,0.0
2012-09-27,0.529572,5.0143,0.208862,0.0,0.0,0.0
2012-09-28,0.527972,5.0127,0.207262,0.0,0.0,0.0
2012-09-29,0.526372,5.0111,0.205662,0.0,0.0,0.0
2012-09-30,0.524772,5.0095,0.204062,0.0,0.0,0.0
2012-10-01,0.523172,5.0079,0.202462,0.0,0.0,0.0
2012-10-02,0.521572,5.0063,0.200862,0.0,0.0,0.0
2012-10-03,0.519972,5.0047,0.199262,0.0,0.0,0.0
2012-10-04,0.518372,5.0031,0.197662,0.0,0.0,0.0
2012-10-05,0.516772,5.0015,0.196062,0.0,0.0,0.0
2012-10-06,0.515172,4.9999,0.194462,0.0,0.0,0.0
2012-10-07,0.513572,4.9983,0.192862,0.0,0.0,0.0
2012-10-08,0.511972,4.9967,0.191262,0.0,0.0,0.0
2012-10-09,0.510372,4.9951,0.189662,0.0,0.0,0.0
2012-10-10,0.508772,4.9935,0.188062,0.0,0.0,0.0
2012-10-11,0.507172,4.9919,0.186462,0.0,0.0,0.0
2012-10-12,0.505572,4.9903,0.184862,0.0,0.0,0.0
2012-10-13,0.503972,4.9887,0.183262,0.0,0.0,0.0
2012-10-14,0.502372,4.9871,0.181662,0.0,0.0,0.0
2012-10-15,0.500772,4.9855,0.180062,0.0,0.0,0.0
2012-10-16,0.499172,4.9839,0.178462,0.0,0.0,0.0
2012-10-17,0.497572,4.9823,0.176862,0.0,0.0,0.0
2012-10-18,0.495972,4.9807,0.175262,0.0,0.0,0.0
2012-10-19,0.494372,4.9791,0.173662,0.0,0.0,0.0
2012-10-20,0.492772,4.9775,0.172062,0.0,0.0,0.0
2012-10-21,0.491172,4.9759,0.170462,0.0,0.0,0.0
2012-10-22,0.489572,4.9743,0.168862,0.0,0.0,0.0
2012-10-23,0.487972,4.9727,0.167262,0.0,0.0,0.0
2012-10-24,0.486372,4.9711,0.165662,0.0,0.0,0.0
2012-10-25,0.484772,4.9695,0.164062,0.0,0.0,0.0
2012-10-26,0.483172,4.9679,0.162462,0.0,0.0,0.0
2012-10-27,0.481572,4.9663,0.160862,0.0,0.0,0.0
2012-10-28,0.479972,4.9647,0.159262,0.0,0.0,0.0
2012-10-29,0.478372,4.9631,0.157662,0.0,0.0,0.0
2012-10-30,0.476772,4.9615,0.156062,0.0,0.0,0.0
2012-10-31,0.475172,4.9599,0.154462,0.0,0.0,0.0
2012-11-01,0.473572,4.9583,0.152862,0.0,0.0,0.0
2012-11-02,0.471972,4.9567,0.151262,0.0,0.0,0.0
2012-11-03,0.470372,4.9551,0.149662,0.0,0.0,0.0
2012-11-04,0.468772,4.9535,0.148062,0.0,0.0,0.0
2012-11-05,0.467172,4.9519,0.146462,0.0,0.0,0.0
2012-11-06,0.465572,4.9503,0.144862,0.0,0.0,0.0
2012-11-07,0.463972,4.9487,0.143262,0.0,0.0,0.0
2012-11-08,0.462372,4.9471,0.141662,0.0,0.0,0.0
2012-11-09,0.460772,4.9455,0.140062,0.0,0.0,0.0
2012-11-10,0.459172,4.9439,0.138462,0.0,0.0,0.0
2012-11-11,0.457572,4.9423,0.136862,0.0,0.0,0.0
2012-11-12,0.455972,4.9407,0.135262,0.0,0.0,0.0
2012-11-13,0.454372,4.9391,0.133662,0.0,0.0,0.0
2012-11-14,0.452772,4.9375,0.132062,0.0,0.0,0.0
2012-11-15,0.451172,4.9359,0.130462,0.0,0.0,0.0
2012-11-16,0.449572,4.9343,0.128862,0.0,0.0,0.0
2012-11-17,0.447972,4.9327,0.127262,0.0,0.0,0.0
2012-11-18,0.446372,4.9311,0.125662,0.0,0.0,0.0
2012-11-19,0.444772,4.9295,0.124062,0.0,0.0,0.0
2012-11-20,0.443172,4.9279,0.122462,0.0,0.0,0.0
2012-11-21,0.441572,4.9263,0.120862,0.0,0.0,0.0
2012-11-22,0.439972,4.9247,0.119262,0.0,0.0,0.0
2012-11-23,0.438372,4.9231,0.117662,0.0,0.0,0.0
2012-11-24,0.436772,4.9215,0.116062,0.0,0.0,0.0
2012-11-25,0.435172,4.9199,0.114462,0.0,0.0,0.0
2012-11-26,0.433572,4.9183,0.112862,0.0,0.0,0.0
2012-11-27,0.431972,4.9167,0.111262,0.0,0.0,0.0
2012-11-28,0.430372,4.9151,0.109662,0.0,0.0,0.0
2012-11-29,0.428772,4.9135,0.108062,0.0,0.0,0.0
2012-11-30,0.427172,4.9119,0.106462,0.0,0.0,0.0
2012-12-01,0.425572,4.9103,0.104862,0.0,0.0,0.0
2012-12-02,0.423972,4.9087,0.103262,0.0,0.0,0.0
2012-12-03,0.422372,4.9071,0.101662,0.0,0.0,0.0
2012-12-04,0.420772,4.9055,0.100062,0.0,0.0,0.0
2012-12-05,0.419172,4.9039,0.0984623,0.0,0.0,0.0
2012-12-06,0.417572,4.9023,0.0968623,0.0,0.0,0.0
2012-12-07,0.415972,4.9007,0.0952623,0.0,0.0,0.0
2012-12-08,0.414372,4.8991,0.0936623,0.0,0.0,0.0
2012-12-09,0.412772,4.8975,0.0920623,0.0,0.0,0.0
2012-12-10,0.411172,4.8959,0.0904623,0.0,0.0,0.0
2012-12-11,0.409572,4.8943,0.0888623,0.0,0.0,0.0
