time,RH_living_room_(was_found_in_a_drawer_in_2016),RH_bedroom,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_30D,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_7D,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_1D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_30D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_7D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_1D,RH_living_room_(was_found_in_a_drawer_in_2016)_B3_overall_risk_code,RH_living_room_(was_found_in_a_drawer_in_2016)_B3_overall_risk_label,RH_bedroom_MA_30D,RH_bedroom_MA_7D,RH_bedroom_MA_1D,RH_bedroom_risk_30D,RH_bedroom_risk_7D,RH_bedroom_risk_1D,RH_bedroom_B3_overall_risk_code,RH_bedroom_B3_overall_risk_label
2012-03-16T21:00:00Z,52.2,51.9,49.89565217391304,49.89565217391304,50.97083333333333,0,0,0,0,Safe,49.61521739130435,49.61521739130435,50.44166666666666,0,0,0,0,Safe
2012-03-16T22:00:00Z,52.5,52.2,49.95106382978723,49.95106382978723,51.00416666666667,0,0,0,0,Safe,49.670212765957444,49.670212765957444,50.487500000000004,0,0,0,0,Safe
2012-03-16T23:00:00Z,52.8,52.4,50.010416666666664,50.010416666666664,51.0875,0,0,0,0,Safe,49.72708333333333,49.72708333333333,50.583333333333336,0,0,0,0,Safe
2012-03-17T00:00:00Z,52.9,52.4,50.06938775510204,50.06938775510204,51.1625,0,0,0,0,Safe,49.78163265306123,49.78163265306123,50.675000000000004,0,0,0,0,Safe
2012-03-17T01:00:00Z,53.0,52.5,50.128,50.128,51.24583333333334,0,0,0,0,Safe,49.836000000000006,49.836000000000006,50.76666666666666,0,0,0,0,Safe
2012-03-17T02:00:00Z,53.0,52.5,50.1843137254902,50.1843137254902,51.32916666666667,0,0,0,0,Safe,49.88823529411765,49.88823529411765,50.85833333333333,0,0,0,0,Safe
2012-03-17T03:00:00Z,53.0,52.5,50.23846153846154,50.23846153846154,51.42083333333334,0,0,0,0,Safe,49.93846153846154,49.93846153846154,50.958333333333336,0,0,0,0,Safe
2012-03-17T04:00:00Z,53.2,52.7,50.29433962264151,50.29433962264151,51.53333333333333,0,0,0,0,Safe,49.990566037735846,49.990566037735846,51.07916666666667,0,0,0,0,Safe
2012-03-17T05:00:00Z,53.3,52.9,50.35,50.35,51.6625,0,0,0,0,Safe,50.044444444444444,50.044444444444444,51.208333333333336,0,0,0,0,Safe
2012-03-17T06:00:00Z,53.7,53.0,50.41090909090909,50.41090909090909,51.8125,0,0,0,0,Safe,50.09818181818182,50.09818181818182,51.354166666666664,0,0,0,0,Safe
2012-03-17T07:00:00Z,54.0,53.5,50.475,50.475,51.98333333333333,0,0,0,0,Safe,50.158928571428575,50.158928571428575,51.525000000000006,0,0,0,0,Safe
2012-03-17T08:00:00Z,54.3,53.8,50.54210526315789,50.54210526315789,52.17083333333334,0,0,0,0,Safe,50.22280701754386,50.22280701754386,51.708333333333336,0,0,0,0,Safe
2012-03-17T09:00:00Z,54.9,54.3,50.61724137931035,50.61724137931035,52.362500000000004,0,0,0,0,Safe,50.293103448275865,50.293103448275865,51.895833333333336,0,0,0,0,Safe
2012-03-17T10:00:00Z,55.3,54.7,50.69661016949152,50.69661016949152,52.5625,0,0,0,0,Safe,50.367796610169485,50.367796610169485,52.09583333333333,0,0,0,0,Safe
2012-03-17T11:00:00Z,55.9,55.4,50.78333333333333,50.78333333333333,52.75416666666666,0,0,0,0,Safe,50.45166666666667,50.45166666666667,52.320833333333326,0,0,0,0,Safe
2012-03-17T12:00:00Z,57.1,56.3,50.88688524590164,50.88688524590164,53.008333333333326,0,0,0,0,Safe,50.54754098360656,50.54754098360656,52.57083333333333,0,0,0,0,Safe
2012-03-17T13:00:00Z,57.9,57.1,51.0,51.0,53.270833333333336,0,0,0,0,Safe,50.653225806451616,50.653225806451616,52.8375,0,0,0,0,Safe
2012-03-17T14:00:00Z,58.1,57.5,51.112698412698414,51.112698412698414,53.570833333333326,0,0,0,0,Safe,50.76190476190476,50.76190476190476,53.137499999999996,0,0,0,0,Safe
